tweet_id,created_at,text,lang,favorite_count,retweet_count,user_id,user_name,user_screen_name,followers_count,hashtags,mentions,urls,media_urls,media_count,media_types,is_retweet,retweet_user,retweet_text
1053763092830711809,Sat Oct 20 21:41:13 +0000 2018,RT @itsKELSEYtho: @kanyewest This is so beautiful Kanye 😭😭😭 https://t.co/vMD3rjhN51,en,0.0,183,169686021,ye,kanyewest,29337530.0,,"itsKELSEYtho, kanyewest",,https://pbs.twimg.com/media/Dp-S4aPUcAA9sdZ.jpg,1,photo,True,itsKELSEYtho,@kanyewest This is so beautiful Kanye 😭😭😭 https://t.co/vMD3rjhN51
1306273334791794689,Wed Sep 16 16:46:47 +0000 2020,https://t.co/PMvaJzzcwc,und,5523.0,444,169686021,ye,kanyewest,30983435.0,,,,https://pbs.twimg.com/media/EiDQqzqVoAA5Ehm.jpg,1,photo,False,,
1073926102509223936,Sat Dec 15 13:01:50 +0000 2018,I’ve been trying to do a serious interview speaking on mental health but it seems as though all members of press ar… https://t.co/uqybonu9aw,en,62540.0,5687,169686021,ye,kanyewest,29436856.0,,,https://twitter.com/i/web/status/1073926102509223936,,0,,False,,
1041741691152064512,Mon Sep 17 17:32:28 +0000 2018,we don’t need to ever be excited we need to just be,en,25870.0,4799,169686021,ye,kanyewest,29337530.0,,,,,0,,False,,
1306275890184118273,Wed Sep 16 16:56:56 +0000 2020,https://t.co/U7KxxzFOAF,und,7191.0,614,169686021,ye,kanyewest,30984716.0,,,,https://pbs.twimg.com/media/EiDS_hyUwAESZFZ.jpg,1,photo,False,,
1307936792591495168,Mon Sep 21 06:56:46 +0000 2020,Ma$e is right about that line ... I always felt funny about that line ... Ma$e is one of my favorite rappers and I… https://t.co/SHPxPmkKW9,en,44699.0,3254,169686021,ye,kanyewest,30968064.0,,,https://twitter.com/i/web/status/1307936792591495168,,0,,False,,
699505542281228288,Tue Feb 16 08:08:12 +0000 2016,They provided resources for me to create… they supported me …  I thank you so so much  …,en,18207.0,4046,169686021,,,,,,,,0,,False,,
1285734366207934464,Wed Jul 22 00:32:15 +0000 2020,TH FTR IS CMNG PRMS N JSS NM 🕊 https://t.co/UgOOsMizry,in,41706.0,2439,169686021,ye,kanyewest,30914189.0,,,,https://pbs.twimg.com/media/EdfYkdwVcAI2b2l.jpg,1,photo,False,,
1041782218853560320,Mon Sep 17 20:13:31 +0000 2018,https://t.co/O3pjH3CuGU,und,13013.0,1349,169686021,ye,kanyewest,29337530.0,,,,https://pbs.twimg.com/media/DnUnZ4yVAAAC9vm.jpg,1,photo,False,,
1034568877408104449,Tue Aug 28 22:30:16 +0000 2018,https://t.co/xKdrJSN4R9,und,9033.0,1333,169686021,,,,,,,,0,,False,,
1309457826608226305,Fri Sep 25 11:40:49 +0000 2020,https://t.co/hlrN1YpxL5,zxx,6837.0,530,169686021,ye,kanyewest,32253242.0,,,,https://pbs.twimg.com/media/Eiwg87NXcAAmogP.jpg,1,photo,False,,
1073435422502596608,Fri Dec 14 04:32:02 +0000 2018,He passes Drakes the crib everyday,en,18813.0,1980,169686021,ye,kanyewest,29337530.0,,,,,0,,False,,
1045440011452133376,Thu Sep 27 22:28:16 +0000 2018,https://t.co/rICnq4VnLF,und,5704.0,439,169686021,ye,kanyewest,29337530.0,,,,https://pbs.twimg.com/media/DoImJKxUcAEcy5A.jpg,1,photo,False,,
1006693206057103360,Wed Jun 13 00:22:18 +0000 2018,https://t.co/x4q8U34qUS,und,5437.0,544,169686021,,,,,,,,0,,False,,
1046459496732667904,Sun Sep 30 17:59:20 +0000 2018,there is no such thing as one sides.  There’s infinite sides,en,23829.0,3808,169686021,ye,kanyewest,29337530.0,,,,,0,,False,,
1060625459841388544,Thu Nov 08 20:09:49 +0000 2018,@theSTASHED https://t.co/JC2BNyHOVG,und,696.0,89,169686021,ye,kanyewest,29337530.0,,theSTASHED,,https://pbs.twimg.com/media/DrgZOt8U0AALznM.jpg,1,photo,False,,
1306651094664257542,Thu Sep 17 17:47:52 +0000 2020,WE’VE NEVER SEEN ANYTHING LIKE THIS BEFORE ... LOOK HOW ALL THE ARTIST STOOD UP     PRAISE GOD MY BROTHERS ITS TIME… https://t.co/o9uNFZzzB6,en,115999.0,10082,169686021,ye,kanyewest,30982337.0,,,https://twitter.com/i/web/status/1306651094664257542,,0,,False,,
644996737812299776,Fri Sep 18 22:09:40 +0000 2015,http://t.co/GY9BabiUS3,und,7163.0,3184,169686021,,,,,,,,0,,False,,
1294488233032597506,Sat Aug 15 04:16:59 +0000 2020,My favorite Martine Rose hoodie https://t.co/aXq5xFywqg,en,12273.0,628,169686021,ye,kanyewest,30905763.0,,,,https://pbs.twimg.com/media/EfbyLy5UwAAp6Kp.jpg,1,photo,False,,
1054823791157755907,Tue Oct 23 19:56:04 +0000 2018,RT @Tesla: Overhead views from a Model 3 https://t.co/SnrL4lLwNB,en,0.0,15238,169686021,ye,kanyewest,29337530.0,,Tesla,,https://pbs.twimg.com/ext_tw_video_thumb/1054380550218145792/pu/img/YUzeaXaHRQ1-7BME.jpg,1,video,True,Tesla,Overhead views from a Model 3 https://t.co/SnrL4lLwNB
749373145824526336,Sat Jul 02 22:44:15 +0000 2016,FAMOUS VIEWINGS IN ATLANTA TONIGHT STARTING AT WESTVIEW DRIVE SW AND LEE STREET SW @ 10:30PM   PEACHTREE STREET AND 11TH STREET NE @ 11:15PM,en,4820.0,2005,169686021,,,,,,,,0,,False,,
990471537886019584,Sun Apr 29 06:03:11 +0000 2018,Remove worry,en,121741.0,37685,169686021,ye,kanyewest,29337530.0,,,,,0,,False,,
1080204699494535168,Tue Jan 01 20:50:44 +0000 2019,RT @IconicYeezy: https://t.co/btopYDbxBA,und,0.0,730,169686021,ye,kanyewest,29265776.0,,,,https://pbs.twimg.com/tweet_video_thumb/Dv2oVI5WoAAUrpX.jpg,1,animated_gif,True,KanyeWestClips,https://t.co/btopYDbxBA
1294488407284920321,Sat Aug 15 04:17:41 +0000 2020,Eco Village ideas https://t.co/PobGtaIrDZ,en,17284.0,984,169686021,ye,kanyewest,30905763.0,,,,https://pbs.twimg.com/media/EfbyWAkU0AE-ppj.jpg,1,photo,False,,
1307383594281820162,Sat Sep 19 18:18:33 +0000 2020,Two years ago we had 50 million people subscribed to music streaming services around the world. Today we have 400 m… https://t.co/ckC8Fiucha,en,54230.0,4132,169686021,ye,kanyewest,30970607.0,,,https://twitter.com/i/web/status/1307383594281820162,,0,,False,,
1598521311466168320,Fri Dec 02 03:35:54 +0000 2022,RT @PopBase: Kanye West promotes his 2024 Presidential campaign with symbol that seems to be a swastika inside the Star of David. https://t…,en,0.0,0,169686021,ye,kanyewest,32243864.0,,PopBase,,,0,,True,PopBase,Kanye West promotes his 2024 Presidential campaign with symbol that seems to be a swastika inside the Star of David. https://t.co/slH3HxyOYd
1047566843894882304,Wed Oct 03 19:19:33 +0000 2018,https://t.co/2LU5NdbE7x,und,4349.0,341,169686021,ye,kanyewest,29337530.0,,,,https://pbs.twimg.com/media/Dom0fTmU8AAtvZo.jpg,1,photo,False,,
1054476546617028608,Mon Oct 22 20:56:14 +0000 2018,RT @kathychaney: .@kanyewest just contributed $73.5k to @AmaraEnyia Chicago mayoral campaign. https://t.co/O7DUmHTYyV,en,0.0,875,169686021,ye,kanyewest,29337530.0,,"kathychaney, kanyewest, AmaraEnyia",,https://pbs.twimg.com/media/DqI4cFWWkAUrX-d.jpg,1,photo,True,kathychaney,.@kanyewest just contributed $73.5k to @AmaraEnyia Chicago mayoral campaign. https://t.co/O7DUmHTYyV
1319443115107864577,Fri Oct 23 00:58:47 +0000 2020,HOW TO WRITE IN KANYE WEST https://t.co/lY4BVdTmdm,en,49169.0,5833,169686021,ye,kanyewest,32253242.0,,,,https://pbs.twimg.com/ext_tw_video_thumb/1319443081121464328/pu/img/wIVes2KTjiINfqk7.jpg,1,video,False,,
