year,month,era,key_event,category,mental_state,intensity,source,track_theme,_themes_list,matched_tracks_n,matched_track_titles,track_emo_score_list,track_emo_score_mean,track_emo_score_median,track_emo_score_v2_list,track_emo_score_v2_mean,track_emo_score_v2_median,matched_themes
2004,1,College Dropout Era,Finishing The College Dropout,music,creative_peak,4,Pitchfork,"college expulsion, drug propaganda","['college expulsion', 'drug propaganda']",2,['Graduation Day'],"[11.653805172413795, 11.653805172413795]",11.653805172413795,11.653805172413795,"[67.4301299838362, 67.4301299838362]",67.4301299838362,67.4301299838362,"['college expulsion', 'drug propaganda']"
2004,2,College Dropout Era,Release of The College Dropout,music,joy,5,Billboard,"college expulsion, drug propaganda","['college expulsion', 'drug propaganda']",2,['Graduation Day'],"[11.653805172413795, 11.653805172413795]",11.653805172413795,11.653805172413795,"[67.4301299838362, 67.4301299838362]",67.4301299838362,67.4301299838362,"['college expulsion', 'drug propaganda']"
2004,3,College Dropout Era,Through the Wire success,music,joy,4,RollingStone,"success, hustle, self-worth","['success', 'hustle', 'self-worth']",16,"['Workout Plan', 'Drive Slow', 'We Major', 'Celebration', 'Good Life', ""Can't Tell Me Nothing"", 'Barry Bonds', 'Gorgeous', 'Lift Off', 'Niggas in Paris', 'Otis', 'Waves', 'Ok Ok', 'PAID']","[1.1161899641577038, 1.1050666666666664, -0.2249696969696965, 9.009777777777773, 15.701125, 7.898369458469999e-16, 7.898369458469999e-16, 1.0538181818181824, 8.191955555555555, 4.620008714596946, 0.0, 105.89090909090908, -6.72, 0.0744793309438466, 0.0744793309438466, 0.0744793309438466]",8.747957452958984,0.5641487563810145,"[25.153598734318997, 10.714666666666671, 33.864, 34.474444444444444, 36.587988281250006, 45.9220166015625, 45.9220166015625, 32.30988636363635, 44.343361111111136, 28.941261029411756, 20.370000000000005, 53.15318181818182, -6.033333333333331, 21.837480062724012, 21.837480062724012, 21.837480062724012]",29.452220531686553,30.625573696524054,"['success', 'hustle', 'self-worth']"
2004,4,College Dropout Era,First major tour,music,creative_peak,3,Variety,"intro, start","['intro', 'start']",3,"['Intro', 'Wake Up Mr. West']","[147.84, -1.5274999999999987, -1.5274999999999987]",48.26166666666666,-1.5274999999999987,"[60.68000000000001, 36.471093749999994, 36.471093749999994]",44.540729166666665,36.471093749999994,"['intro', 'start']"
2004,5,College Dropout Era,Beginning of GOOD Music,music,creative_peak,4,Guardian,"intro, start","['intro', 'start']",3,"['Intro', 'Wake Up Mr. West']","[147.84, -1.5274999999999987, -1.5274999999999987]",48.26166666666666,-1.5274999999999987,"[60.68000000000001, 36.471093749999994, 36.471093749999994]",44.540729166666665,36.471093749999994,"['intro', 'start']"
2004,6,College Dropout Era,More touring and promo,music,neutral,2,-- ,"ego, fame, downfall","['ego', 'fame', 'downfall']",28,"['Diamonds from Sierra Leone (Remix)', ""Can't Tell Me Nothing"", 'Barry Bonds', 'Flashing Lights', 'Homecoming', 'Pinocchio Story (Freestyle Live From Singapore)', 'Dark Fantasy', 'POWER', 'All of the Lights', 'Monster', 'Famous', 'Feedback', 'Facts (Charlie Heat Version)', 'I Thought About Killing You', 'All Mine', '4th Dimension', 'Junya', 'Junya pt 2', 'Too Easy', 'Pablo', 'Eazy', 'STARS', 'VULTURES', 'CARNIVAL', 'PROBLEMATIC', 'LIFESTYLE']","[-0.7207693181818179, 7.898369458469999e-16, 7.898369458469999e-16, -2.3659259259259273, 10.580625, 56.72868276972627, 3.188343743743742, -0.3522285714285699, -0.3522285714285699, -0.3522285714285699, -6.9614711111111145, 29.743949962207115, 53.06939225589224, 53.06939225589224, 53.06939225589224, 1.4997335335335322, 11.320246153846153, 17.91896531986531, 8.455025000000001, 14.215750000000003, 0.5242911877394631, 11.861629629629626, 1.8972959064327488, 0.7111254150702416, 3.6993288166214966, 9.763935449735454, 12.073466666666668, 4.0697071895424815]",12.369836658661876,3.884518003081989,"[31.150144797585217, 45.9220166015625, 45.9220166015625, 2.254145833333333, 45.01443726084185, 56.20711050724637, 47.61706986674175, 34.87530059523811, 34.87530059523811, 34.87530059523811, -1.777830208333329, 80.17956278344671, 48.05831833964646, 48.05831833964646, 48.05831833964646, 39.887507554429426, 44.05348076923076, 68.4594420770202, 36.6786953125, 44.14921875, 19.73071360153257, 72.13169191919192, 53.43923802997075, 17.83508836206897, 69.84603103827914, 37.060901537698406, 40.17684027777778, 30.790666973039208]",41.98318025183499,44.10134975961538,"['ego', 'fame', 'downfall']"
2004,7,College Dropout Era,Talks about car crash trauma,personal,grief,3,MTV,"injury, recovery, perseverance, faith","['injury', 'recovery', 'perseverance', 'faith']",26,"['Jesus Walks', 'Never Let Me Down', 'Through the Wire', 'Family Business', ""Heard 'Em Say"", 'Stronger', 'Amazing', 'Ultralight Beam', 'FML', 'Saint Pablo', 'No Mistakes', 'Cudi Montage', 'Selah', 'God Is', 'Jesus Is Lord', 'God Breathed', 'Praise God', '24', 'Keep My Spirit Alive', 'Jail pt 2', 'Lord Lift Me Up']","[-0.0, 3.6455441489361697, 61.727977777777774, 61.727977777777774, 61.727977777777774, 61.727977777777774, 0.0, 46.44483091787441, -0.1213249999999999, 4.777760204081633, 21.095334812903225, -3.749753553553552, 1.6614000000000009, 0.8934968071519789, 4.713545454545455, 17.602722722722717, 0.6632580645161278, 1.0512, -6.59053198653199, -9.351514285714284, -9.351514285714284, 0.1359999999999999, 0.1359999999999999, 1.0793931034482749, 5.617523076923077, 1.233244444444446]",12.634558682967095,1.1563187739463605,"[15.52656770833334, 34.84575762549867, 48.728215277777785, 48.728215277777785, 48.728215277777785, 48.728215277777785, 17.6520615234375, 61.94830917874397, 32.4231259765625, 43.8262999242666, 37.4552129032258, 54.3868176144895, 33.23754971590909, 20.38783620689656, 33.495134943181824, 39.29059309309309, 30.02110635080647, 30.52018749999999, -11.86297269570706, -17.249002232142853, -17.249002232142853, 10.333159722222224, 10.333159722222224, 22.431216714559383, 61.0751358173077, 48.12711111111111]",30.225701050114846,33.36634232954546,"['injury', 'recovery', 'perseverance', 'faith']"
2004,8,College Dropout Era,Jesus Walks wins VMA,music,joy,5,VMA,"struggle, redemption, surrender","['struggle', 'redemption', 'surrender']",25,"['Never Let Me Down', 'Gorgeous', 'Welcome to the Jungle', 'Made in America', 'Saint Pablo', 'No Mistakes', 'Fire', 'Cudi Montage', 'Water', 'Hands On', 'Use This Gospel', 'God Breathed', 'Hurricane', 'Heaven and Hell', 'Pure Souls', 'Come to Life', 'Broken Road', 'Lord Lift Me Up', 'City of Gods', 'KEYS TO MY LIFE', 'BEG FORGIVENESS', ""GOOD (DON'T DIE)"", 'RIVER']","[3.6455441489361697, 1.0538181818181824, -0.9339447154471568, 3.094999999999999, 1.6614000000000009, 0.8934968071519789, 5.945749891067534, 4.713545454545455, 0.449796168582375, 22.926471734892793, 2.0111500000000015, -6.59053198653199, 42.46183432700993, 3.77744244244244, -1.6769999999999998, 3.889411764705879, 52.703007751938, 52.703007751938, 52.703007751938, 1.233244444444446, 0.0781504629629633, 15.72334254254254, 34.06158095238096, -3.2184042328042324, -0.2601768219832733]",11.721997792901242,3.094999999999999,"[34.84575762549867, 32.30988636363635, 61.40909823848238, 9.053531250000006, 33.23754971590909, 20.38783620689656, 34.43897344771242, 33.495134943181824, 18.43349904214558, 39.529532163742694, 29.73443142361112, -11.86297269570706, 40.99069698509484, 46.63731348536035, 3.872906249999992, 38.912064950980394, 44.51399870801034, 44.51399870801034, 44.51399870801034, 48.12711111111111, 20.75308268229167, 40.99820570570571, 50.080453869047616, 38.255888888888904, 17.427307347670258]",32.584371405011666,34.84575762549867,"['struggle', 'redemption', 'surrender']"
2004,9,College Dropout Era,Rise in media attention,public,neutral,2,Guardian,"chaos, fame, consequences","['chaos', 'fame', 'consequences']",22,"['Diamonds from Sierra Leone (Remix)', 'Flashing Lights', 'Homecoming', 'Pinocchio Story (Freestyle Live From Singapore)', 'Dark Fantasy', 'POWER', 'All of the Lights', 'Welcome to the Jungle', 'Famous', 'Feedback', 'Freestyle 4', 'Facts (Charlie Heat Version)', 'Feel The Love', 'Pablo', 'FUK SUMN', 'VULTURES', 'CARNIVAL', 'FRIED', 'LIFESTYLE']","[-0.7207693181818179, -2.3659259259259273, 10.580625, 56.72868276972627, 3.188343743743742, -0.3522285714285699, -6.9614711111111145, -6.9614711111111145, -6.9614711111111145, -0.9339447154471568, 53.06939225589224, 53.06939225589224, 12.197035004516712, 53.06939225589224, 9.76976923076923, 11.861629629629626, 11.861629629629626, 31.857376744186055, 3.6993288166214966, 9.763935449735454, 7.185230769230769, 4.0697071895424815]",13.941554040031429,8.474583109483111,"[31.150144797585217, 2.254145833333333, 45.01443726084185, 56.20711050724637, 47.61706986674175, 34.87530059523811, -1.777830208333329, -1.777830208333329, -1.777830208333329, 61.40909823848238, 48.05831833964646, 48.05831833964646, 62.97054645155826, 48.05831833964646, 55.17985376602565, 72.13169191919192, 72.13169191919192, 56.16894056847544, 69.84603103827914, 37.060901537698406, 60.20056891025639, 30.790666973039208]",42.44771202623294,48.05831833964646,"['chaos', 'fame', 'consequences']"
2004,10,College Dropout Era,First controversies begin,public,chaotic,3,NYTimes,"conflict, reputation, pressure","['conflict', 'reputation', 'pressure']",15,"['Bring Me Down', 'Diamonds from Sierra Leone (Remix)', 'Late', 'Welcome to Heartbreak', 'Why I Love You', 'Follow God', 'Jail', 'Ok Ok', 'Believe What I Say', 'Jail pt 2', 'Eazy', 'TALKING', 'BURN']","[13.936846153846156, -0.7207693181818179, -4.653175531914893, -0.5775605263157896, 8.150815384615385, 0.0, -0.092132056194125, -6.72, 2.8549178743961368, 5.617523076923077, 1.8972959064327488, 2.4558745098039196, 2.4558745098039196, 2.4558745098039196, 11.840400000000002]",2.593452299534576,2.4558745098039196,"[52.43108173076923, 31.150144797585217, 40.760846077127646, 10.69799568256579, 54.04452043269231, 22.033687500000013, 12.60852017480844, -6.033333333333331, 6.231974637681155, 61.0751358173077, 53.43923802997075, 32.11736887254902, 32.11736887254902, 32.11736887254902, 65.6415550595238]",33.36223154828972,32.11736887254902,"['conflict', 'reputation', 'pressure']"
